last_name, first_name,player_id,year,xba,xslg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Thomas, Lane,657041,2022,.222,.357,86.4,12.5,6.5,
Verdugo, Alex,657077,2022,.278,.428,89.1,8.4,6,
Ohtani, Shohei,660271,2022,.278,.552,92.9,12.1,16.8,
Acuna Jr., Ronald,660670,2022,.272,.486,91.2,10.8,12.8,
Varsho, Daulton,662139,2022,.214,.389,87.7,14.9,10.2,
Hoerner, Nico,663538,2022,.270,.366,87.2,10.7,2.6,
Riley, Austin,663586,2022,.271,.531,92.5,12.9,15.7,
Mountcastle, Ryan,663624,2022,.277,.509,91.3,15.9,15,
Hayes, Ke'Bryan,663647,2022,.250,.354,91,5.2,3.9,
Tucker, Kyle,663656,2022,.262,.482,90,19,10.2,
Grisham, Trent,663757,2022,.204,.354,88.3,15.1,8.1,
Rodgers, Brendan,663898,2022,.265,.404,90,4.6,7.2,
Lowe, Nathaniel,663993,2022,.275,.459,90.2,8.2,9.9,
Happ, Ian,664023,2022,.239,.379,89.7,10.9,6.5,
France, Ty,664034,2022,.262,.398,87.6,10.1,5.4,
Straw, Myles,664702,2022,.236,.301,87,9.8,0.7,
Bohm, Alec,664761,2022,.290,.436,90.2,10.4,6.8,
Brown, Seth,664913,2022,.251,.454,89.2,15.8,13,
Pena, Jeremy,665161,2022,.248,.397,88.1,8.7,9.7,
Guerrero Jr., Vladimir,665489,2022,.276,.462,92.8,4.3,11.2,
Soto, Juan,665742,2022,.266,.501,91,9.1,12.4,
Gimenez, Andres,665926,2022,.257,.400,87.8,11.7,6.2,
Bichette, Bo,666182,2022,.278,.444,91.9,8.5,9.6,
Garcia, Adolis,666969,2022,.244,.447,92.1,13.2,12.9,
Arozarena, Randy,668227,2022,.234,.382,89.9,8.8,7.9,
Reynolds, Bryan,668804,2022,.249,.416,90.2,12,7.9,
Rojas, Josh,668942,2022,.242,.365,88.8,11.9,4.5,
Melendez Jr., MJ,669004,2022,.237,.410,90.7,15.1,10.4,
Murphy, Sean,669221,2022,.255,.439,88.7,11.5,10.5,
Edman, Tommy,669242,2022,.258,.380,88.6,8.7,6.2,
Smith, Will,669257,2022,.257,.473,89.9,18.4,10.3,
Hays, Austin,669720,2022,.240,.372,87.7,11.3,5.2,
Alvarez, Yordan,670541,2022,.329,.672,95.2,12.3,21,
Kirk, Alejandro,672386,2022,.278,.431,90.5,8.1,6.7,
Kim, Ha-Seong,673490,2022,.250,.368,86.7,16.1,4.2,
Rodriguez, Julio,677594,2022,.254,.460,92,10.1,13.1,
Witt Jr., Bobby,677951,2022,.252,.427,89.7,16.8,8.7,
Kwan, Steven,680757,2022,.268,.341,85.1,11.8,1.4,
Vaughn, Andrew,683734,2022,.255,.415,90.8,7.5,7.9,
